resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
3814,Sports Agent,"business acumen, communication, javascript, negotiation, networking, node.js, pytorch, sales, sports knowledge","adaptability, business acumen, communication, docker, microservices, negotiation, networking, sales, scikit-learn, sports knowledge","business acumen, communication, negotiation, networking, sales, sports knowledge","adaptability, docker, microservices, scikit-learn",10,6,60.0
3815,Cashier,"accuracy, cash handling, communication, customer service, friendliness, mysql, point of sale, sales, security architecture","accuracy, agile, cash handling, communication, customer service, friendliness, graphql, point of sale","accuracy, cash handling, communication, customer service, friendliness, point of sale","agile, graphql",8,6,75.0
3816,Legal Secretary,"administrative skills, attention to detail, communication, data analysis, django, legal knowledge, organization, swift, typing","administrative skills, attention to detail, communication, css, data analysis, firewalls, kubernetes, legal knowledge, organization, typing","administrative skills, attention to detail, communication, data analysis, legal knowledge, organization, typing","css, firewalls, kubernetes",10,7,70.0
3817,Massage Therapist,"anatomy, angular, communication, customer service, empathy, encryption, massage therapy, problem solving, swift","agile, anatomy, cassandra, communication, customer service, empathy, massage therapy, mobile security, problem solving","anatomy, communication, customer service, empathy, massage therapy, problem solving","agile, cassandra, mobile security",9,6,66.67
3818,CMO,"brand management, digital transformation, executive communication, html, market intelligence, postgresql, power bi, strategic leadership, user experience, vision","agile, brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision","brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision",agile,7,6,85.71
3819,Product Manager,"communication, data analysis, deep learning, encryption, leadership, market analysis, product strategy, prototyping, responsive design, user research","communication, data analysis, decision making, leadership, market analysis, node.js, product strategy, user research","communication, data analysis, leadership, market analysis, product strategy, user research","decision making, node.js",8,6,75.0
3820,Full Stack Developer,"css, database, figma, git, html, javascript, mobile security, node.js, project management, react, terraform","css, database, decision making, encryption, git, html, javascript, mentoring, mobile security, node.js, react","css, database, git, html, javascript, mobile security, node.js, react","decision making, encryption, mentoring",11,8,72.73
3821,Academic Data Analyst,"academic writing, azure, gcp, ios, problem solving, python, research, risk assessment, statistical analysis, teamwork","academic writing, azure, budget management, compliance, flask, marketing, oracle, problem solving, python, research, scikit-learn, statistical analysis, user interface, vue.js","academic writing, azure, problem solving, python, research, statistical analysis","budget management, compliance, flask, marketing, oracle, scikit-learn, user interface, vue.js",14,6,42.86
3822,Analytics Engineer,"analytics, azure, cloud platforms, data modeling, dbt, python, scikit-learn, sql","analytics, cloud platforms, data modeling, dbt, mongodb, pandas, python, security architecture, sql","analytics, cloud platforms, data modeling, dbt, python, sql","mongodb, pandas, security architecture",9,6,66.67
3823,Electronics Engineer,"cad, circuit design, embedded systems, flutter, hardware design, microcontrollers, node.js, pcb design, prototyping, terraform","cad, circuit design, embedded systems, hardware design, microcontrollers, pcb design","cad, circuit design, embedded systems, hardware design, microcontrollers, pcb design",,6,6,100.0
3824,Swift Developer,"ios development, kanban, mobile development, mobile ui, pl management, problem solving, seo, swift, ui, user interface, ux, xcode","data analysis, ios development, mobile development, penetration testing, problem solving, prototyping, rest api, swift, ui, ux, xcode","ios development, mobile development, problem solving, swift, ui, ux, xcode","data analysis, penetration testing, prototyping, rest api",11,7,63.64
3825,Physical Therapist,"anatomy knowledge, communication, compassion, confluence, exercise prescription, numpy, patient assessment, physical therapy, project management, scala, seo","anatomy knowledge, communication, compassion, confluence, css, django, exercise prescription, patient assessment, physical therapy","anatomy knowledge, communication, compassion, confluence, exercise prescription, patient assessment, physical therapy","css, django",9,7,77.78
